profile	family	model	src_sym	src_param	req_mhz	map_hz	parent	parent_mhz	req_eff	actual_mhz	old_boot_actual
xiaomi_xiaofang_t20l_jxf23_rtl8189ftv	t20	t20l	None	None	None	None	None	None	None	None	None
xiaomi_xiaofang_t31x_jxf23_rtl8189ftv	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
xvim_ipcam100_t21n_jxf37_eth+rtl8188ftv	t21	t21n	None	None	None	None	None	None	None	None	None
zte_k540_t31x_sc4336_eth+atbm6032	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
zte_k540v2_t31x_sc4336_eth+atbm6032	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
360_ap6pcm03_t31x_gc4653_eth+atbm6031	t31	t31x	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
360_d619_t10_ov9732_rtl8188eu	t10	t10a	None	None	None	None	None	None	None	None	None
360_d619_t10_ov9732_rtl8188eus	t10	t10a	None	None	None	None	None	None	None	None	None
360_k7ts_t41nq_gc4023_eth	t41	t41nq	INTERNAL	None	400	400000000	mpll	1400.0	400.0	350.0	None
anker_c200_t31x_sc500ai	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
besder_w9q_t23n_os02n10_aic8800u	t23	t23n	None	None	None	None	None	None	None	None	None
camsoy_okc01_t31lc_gc1084_hi3881	t31	t31lc	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
cinnado_d13k_t41nq_sc5336_atbm6132bu	t41	t41nq	APLL	apll	550	550000000	apll	None	550.0	None	None
cinnado_d1_3k_atbm6132u	t41	t41nq	APLL	apll	550	550000000	apll	None	550.0	None	None
cinnado_d1_t31l_kernel44	t31	t31l	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
dekco_t23n_sc3332p_ws73v100	t23	t23n	None	None	None	None	None	None	None	None	None
escam_g16_t21n_jxh62_mt7601u	t21	t21n	None	None	None	None	None	None	None	None	None
eufy_t8410_t31x_sc3235_syn4343	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8410c_t31x_sc3338_atbm6031x_ble	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
eufy_t8416_t40xp_sc830_aic8800d40	t40	t40xp	MPLL	mpll	600	600000000	mpll	1200.0	600.0	600.0	None
ezviz_csmy33why_t31x_jxq03_rtl8188ftv	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
galayou_g2_t31lc_sc2336_atbm6012b	t31	t31lc	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
galayou_g2_t31lc_sc2336_atbm6012bx	t31	t31lc	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
galayou_g7_t31lc_sc2336_atbm6012b	t31	t31lc	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
h3c_c2041_t31x_jxk04_eth+rtl8188ftv	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
h3c_tc2100_t31n_jxq03_eth+ssv6155	t31	t31n	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
hugolog_e5p_t41lq_sc4336p_atbm6062u	t41	t41lq	APLL	apll	550	550000000	apll	None	550.0	None	None
iegeek_sc1_t23n_cv2003_atbm6132u	t23	t23n	None	None	None	None	None	None	None	None	None
ingenic_k3_100_c100_gc2053_bcmdhd_ap6214a	c100	c100	None	None	None	None	None	None	None	None	None
javiscam_a3_t23n_os02n10_aic8800dc	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_f2t_t31x_gc4653_ssv6265p+eth	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
jooan_w5u_t40nn_os02g10_ssv6256p	t40	t40nn	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
kiwibit_bc111_t23zn_unk_aiw4211l	t23	t23zn	None	None	None	None	None	None	None	None	None
laxihub_14t_t31l_sc2336_atbm6032	t31	t31l	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
longplus_x07_t31n_gc2063_rtl8189ftv	t31	t31n	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
